	site_number	state	runway_id	runway_length	runway_width	runway_surface_type_cond	runway_surface_treatment	edge_lights_intensity	base_end_id	base_true_alignment	base_ils_type	base_right_pattern	base_markings_type	base_markings_cond	base_latitude	base_latitude_s	base_longitude	base_longitude_s	base_elevation	base_crossing_height	base_glide_path_angle	base_displaced_length	base_vasi	base_centerline_lights	base_touchdown_lights	base_object	base_object_height	reciprocal_end_id	rcpr_true_alignment	rcpr_ils_type	rcpr_right_pattern	rcpr_markings_type	rcpr_markings_cond	rcpr_latitude	rcpr_latitude_s	rcpr_longitude	rcpr_longitude_s	rcpr_elevation	rcpr_crossing_height	rcpr_glide_path_angle	rcpr_displaced_length	rcpr_vasi	rcpr_centerline_lights	rcpr_touchdown_lights	rcpr_object	rcpr_object_height	runway_capacity_lbs_sw	runway_capacity_lbs_dw	runway_capacity_lbs_dt	runway_capacity_lbs_ddt	base_tora	base_toda	base_asda	base_lda	rcpr_tora	rcpr_toda	rcpr_asda	rcpr_lda
7344	07216.*A	KY	'01/19	4400	75	ASPH-F		MED	01	8.0			NPI	G	37-35-16.3491N	135316.3491N	083-19-05.8296W	299945.8296W	1352.9							TREES	24.0	19	188.0			NPI	G	37-35-59.4357N	135359.4357N	083-18-58.2982W	299938.2982W	1380.9							TREES	18.0	12.5											
7345	07217.*A	KY	'17/35	5010	78	ASPH-F		MED	17	175.0			NPI	P	37-00-59.5923N	133259.5923N	085-06-12.3483W	306372.3483W	1010.3	36.0	3.0		P4L			TREES	130.0	35	355.0			NPI	P	37-00-10.2271N	133210.2271N	085-06-07.3472W	306367.3472W	958.3	39.0	3.0		P4L			TREES	65.0	40.0	70.0										
7346	07217.01*H	KY	'H1	40	40	CONC			H1						37-00-15.8400N	133215.8400N	085-04-34.6800W	306274.6800W	693.0																																							
7347	07219.*H	KY	'H1	40	40	CONC		PERI	H1						37-09-35.9000N	133775.9000N	082-39-49.6000W	297589.6000W	1770.0							BLDG																																
7348	07226.*H	KY	'H1	50	50	CONC			H1						38-23-39.0600N	138219.0600N	085-22-36.7300W	307356.7300W	792.0																																							
7349	07227.*A	KY	'E/W	1450	100	TURF			E																			W																														
7350	07228.07*H	KY	'H1	40	40	CONC			H1																																																	
7351	07230.*H	KY	'H1	50	50	CONC		PERI	H1						37-34-08.6000N	135248.6000N	085-15-44.6000W	306944.6000W	810.0																																							
7352	07232.*A	KY	'02/20	4000	60	ASPH-G		MED	02	19.0			NPI	G	37-23-40.3795N	134620.3795N	086-15-48.4420W	310548.4420W	705.6	27.0	3.0	200.0	P2L					20	199.0		False	NPI	G	37-24-17.8404N	134657.8404N	086-15-32.6623W	310532.6623W	782.0	26.0	3.0		P2L			ROAD	37.0	12.5							3800.0				
7353	07232.01*H	KY	'H1	50	40	CONC		PERI	H1						37-28-19.8100N	134899.8100N	086-17-17.4900W	310637.4900W	657.0																																							
7354	07232.08*A	KY	'05/23	4000	75	ASPH-G	NONE	MED	05	43.0			NPI	G	37-56-56.9293N	136616.9293N	086-51-42.6450W	312702.6450W	409.3	37.0	3.5		P4L			ROAD	9.0	23	223.0			NPI	G	37-57-26.0772N	136646.0772N	086-51-08.8964W	312668.8964W	411.4	42.0	4.0		P4L			TREE	31.0	30.0	40.0										
